"cctv_id","description","location","floor","room","x_coordinate","y_coordinate","z_coordinate","orientation","modifieddatetime","x_px_coordinate","y_px_coordinate"
TSC CAM1002,,TSC,TSC_GF,,,,,,2024-11-20 13:16:41.029,3073,831
TSC CAM1016,,TSC,TSC_GF,,,,,,2024-11-20 13:16:41.029,3351,863
TSC CAM1017,,TSC,TSC_GF,,,,,,2024-11-20 13:16:41.029,3367,1047
TSC CAM1021,,TSC,TSC_GF,,,,,,2024-11-20 13:16:41.029,3461,859
TSC CAM1026,,TSC,TSC_GF,,,,,,2024-11-20 13:16:41.029,3755,807
TSC CAM1041,,TSC,TSC_GF,,-5300355047,2407248919,,,2024-11-20 13:16:41.029,8335,3617
TSC CAM1043,,TSC,TSC_GF,,-5300355820,2407240733,,,2024-11-20 13:16:41.029,8149,3999
TSC CAM1065,,TSC,TSC_B1M,,-5300399535,2407241680,,,2024-11-20 13:16:41.029,2965,871
TSC CAM1067,,TSC,TSC_B1M,,,,,,2024-11-20 13:16:41.029,3097,855
TSC CAM1071,,TSC,TSC_B1M,,-5300394706,2407225643,,,2024-11-20 13:16:41.029,3755,1041
TSC CAM1072,,TSC,TSC_B1M,,,,,,2024-11-20 13:16:41.029,3709,703
TSC CAM1073,,TSC,TSC_B1M,,-5300392432,2407227036,,,2024-11-20 13:16:41.029,3995,703
TSC CAM1074,,TSC,TSC_B1M,,-5300399533,2407217821,,,2024-11-20 13:16:41.029,5869,1567
TSC CAM1064,,TSC,TSC_GF,,-5300423809,2407236672,,,2024-11-20 13:16:41.029,11937,1313
TSC CAM1078,,TSC,TSC_B1,,-5300368818,2407287346,,,2024-11-20 13:16:41.029,3177,933
TSC CAM1100,,TSC,TSC_B1,,-5300326927,2407210232,,,2024-11-20 13:16:41.029,8193,3061
TSC CAM1119,,TSC,TSC_B1,,-5300357928,2407215494,,,2024-11-20 13:16:41.029,8013,4469
TSC CAM1123,,TSC,TSC_B1,,-5300326427,2407215093,,,2024-11-20 13:16:41.029,9241,4757
TSC CAM1127,,TSC,TSC_B1,,-5300325635,2407207553,,,2024-11-20 13:16:41.029,10981,1151
TSC CAM1160,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,4405,983
TSC CAM1135,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,3315,1049
TSC CAM1138,,TSC,TSC_B2,,-5300388909,2407231692,,,2024-11-20 13:16:41.029,3579,987
TSC CAM1141,,TSC,TSC_B2,,-5300388142,2407226522,,,2024-11-20 13:16:41.029,3749,853
TSC CAM1142,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,3813,987
TSC CAM1143,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,4011,789
TSC CAM1144,,TSC,TSC_B2,,-5300390469,2407225448,,,2024-11-20 13:16:41.029,4317,1561
TSC CAM1128,,TSC,TSC_B1,,-5300357368,2407227097,,,2024-11-20 13:16:41.029,10997,1435
TSC CAM1202,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,2205,1357
TSC CAM1203,,TSC,TSC_B3,,-5300391939,2407226245,,,2024-11-20 13:16:41.029,2039,1841
TSC CAM1182,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.029,8861,3193
TSC CAM1204,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,2099,2133
TSC CAM1205,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,1645,2539
TSC CAM1206,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.029,1903,2257
TSC CAM1220,,TSC,TSC_B3,,-5300374855,2407233415,,,2024-11-20 13:16:41.029,3427,1165
TSC CAM1223,,TSC,TSC_B3,,-5300368615,2407279245,,,2024-11-20 13:16:41.029,3647,789
TSC CAM1224,,TSC,TSC_B3,,-5300361304,2407279321,,,2024-11-20 13:16:41.029,3769,789
TSC CAM1226,,TSC,TSC_B3,,-5300358441,2407279316,,,2024-11-20 13:16:41.029,3759,1557
TSC CAM1227,,TSC,TSC_B3,,-5300368838,2407272671,,,2024-11-20 13:16:41.029,4011,787
TSC CAM1228,,TSC,TSC_B3,,-5300356541,2407271701,,,2024-11-20 13:16:41.029,4087,983
TSC CAM1306,,TSC,TSC_B4,,-5300420610,2407240247,,,2024-11-20 13:16:41.066,3647,789
TSC CAM1307,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,3751,789
TSC CAM1309,,TSC,TSC_B4,,-5300391649,2407225645,,,2024-11-20 13:16:41.066,4009,789
TSC CAM1310,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,4007,1017
TSC CAM1311,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,4047,1237
TSC CAM1293,,TSC,TSC_B3,,-5300581734,2407260368,,,2024-11-20 13:16:41.066,10935,1523
TSC CAM1312,,TSC,TSC_B3,,,,,,2024-11-20 13:16:41.066,1535,2603
TSC CAM1316,,TSC,TSC_B4,,-5300371785,2407271796,,,2024-11-20 13:16:41.066,2051,2399
TSC CAM1319,,TSC,TSC_B4,,-5300369985,2407242540,,,2024-11-20 13:16:41.066,2067,2079
TSC CAM1322,,TSC,TSC_B4,,-5300360850,2407272755,,,2024-11-20 13:16:41.066,2039,2471
TSC CAM1325,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2099,2267
TSC CAM1326,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2077,2359
TSC CAM1328,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2245,2089
TSC CAM1329,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2243,2361
TSC CAM1330,,TSC,TSC_B4,,,,,,2024-11-20 13:16:41.066,2431,2517
TSC CAM1499,,TSC,TSC_B5,,-5300332291,2407224127,,,2024-11-20 13:16:41.066,9243,4751
TSC CAM1500,,TSC,TSC_B6,,-5300396949,2407217942,,,2024-11-20 13:16:41.066,10381,1613
TSC CAM1501,,TSC,TSC_B6,,,,,,2024-11-20 13:16:41.066,10037,2373
TSC CAM1502,,TSC,TSC_B6,,,,,,2024-11-20 13:16:41.066,10183,2203
TSC CAM1491,,TSC,TSC_B5,,-5300449298,2407304261,,,2024-11-20 13:16:41.066,3687,1335
TSC CAM1492,,TSC,TSC_B5,,-5300585560,2407257041,,,2024-11-20 13:16:41.066,3645,787
TSC CAM1493,,TSC,TSC_B5,,-5300446237,2407257534,,,2024-11-20 13:16:41.066,4971,1227
TSC CAM1496,,TSC,TSC_B5,,-5300326832,2407210111,,,2024-11-20 13:16:41.066,8295,3669
TSC CAM1497,,TSC,TSC_B5,,-5300356222,2407240627,,,2024-11-20 13:16:41.066,8747,3595
TSC CAM1562,,TSC,TSC_GF,,-5300467689,2407312917,,,2024-11-20 13:16:41.100,5819,1143
TSC CAM1441,,TSC,TSC_B4,,-5300590203,2407309980,,,2024-11-20 13:16:41.066,8627,2351
TSC CAM1443,,TSC,TSC_B4,,-5300594520,2407306949,,,2024-11-20 13:16:41.066,7993,2089
TSC CAM1444,,TSC,TSC_B4,,-5300591770,2407304266,,,2024-11-20 13:16:41.066,8637,2031
TSC CAM1551,,TSC,TSC_B1M,,-5300518864,2407300558,,,2024-11-20 13:16:41.066,3825,879
TSC CAM1552,,TSC,TSC_B1M,,-5300508736,2407300579,,,2024-11-20 13:16:41.066,4011,839
TSC CAM1524,,TSC,TSC_B3,,-5300595382,2407307645,,,2024-11-20 13:16:41.066,3279,2221
TSC CAM1447,,TSC,TSC_B4,,-5300581260,2407304193,,,2024-11-20 13:16:41.066,7915,2351
TSC CAM1531,,TSC,TSC_B1,,-5300578216,2407312917,,,2024-11-20 13:16:41.066,4587,1173
TSC CAM1448,,TSC,TSC_B4,,-5300581260,2407304193,,,2024-11-20 13:16:41.066,8659,2351
TSC CAM1449,,TSC,TSC_B4,,-5300602050,2407303421,,,2024-11-20 13:16:41.066,8843,2031
TSC CAM1519,,TSC,TSC_B2,,-5300358368,2407222668,,,2024-11-20 13:16:41.066,8191,4165
TSC CAM1541,,TSC,TSC_B2,,-5300545897,2407298841,,,2024-11-20 13:16:41.066,5567,1001
TSC CAM1450,,TSC,TSC_B4,,-5300599800,2407305101,,,2024-11-20 13:16:41.066,9023,2089
TSC CAM1526,,TSC,TSC_B3,,-5300585603,2407308144,,,2024-11-20 13:16:41.066,9925,2223
TSC CAM1528,,TSC,TSC_B3,,-5300585512,2407300380,,,2024-11-20 13:16:41.066,10889,1525
TSC CAM1452,,TSC,TSC_B4,,-5300587113,2407304191,,,2024-11-20 13:16:41.066,8841,2409
TSC CAM1540,,TSC,TSC_B1,,-5300329538,2407209347,,,2024-11-20 13:16:41.066,7707,4535
TSC CAM1566,,TSC,TSC_B1,,-5300450641,2407301558,,,2024-11-20 13:16:41.100,11015,1151
TSC CAM1557,,TSC,TSC_B2,,-5300471007,2407313132,,,2024-11-20 13:16:41.066,8043,3595
TSC CAM1563,,TSC,TSC_GF,,-5300447243,2407312917,,,2024-11-20 13:16:41.100,5825,1627
TSC CAM1573,,TSC,TSC_B1,,-5300312386,2407207432,,,2024-11-20 13:16:41.100,7579,4857
TSC CAM1559,,TSC,TSC_B2,,-5300469945,2407302611,,,2024-11-20 13:16:41.066,7937,3595
TSC CAM1542,,TSC,TSC_B3,,-5300539897,2407298841,,,2024-11-20 13:16:41.066,2099,2101
TSC CAM1570,,TSC,TSC_GF,,-5300356524,2407231827,,,2024-11-20 13:16:41.100,7629,4129
TSC CAM1575,,TSC,TSC_B1,,-5300379306,2407209363,,,2024-11-20 13:16:41.100,8333,4579
TSC CAM1544,,TSC,TSC_B3,,-5300542826,2407307936,,,2024-11-20 13:16:41.066,2123,1777
TSC CAM1571,,TSC,TSC_GF,,-5300375292,2407227220,,,2024-11-20 13:16:41.100,9851,4579
TSC CAM1579,,TSC,TSC_GF,,-5300400053,2407312917,,,2024-11-20 13:16:41.100,3095,907
TSC CAM1582,,TSC,TSC_GF,,-5300366236,2407231824,,,2024-11-20 13:16:41.100,7661,4537
TSC CAM1548,,TSC,TSC_B3,,-5300506816,2407309772,,,2024-11-20 13:16:41.066,1531,2459
TSC CAM1554,,TSC,TSC_B3,,-5300504895,2407307943,,,2024-11-20 13:16:41.066,2053,1199
TSC CAM1560,,TSC,TSC_B3,,-5300471007,2407295390,,,2024-11-20 13:16:41.066,10175,1401
TSC CAM1023,,TSC,TSC_GF,,-5300469681,2407295580,,,2024-11-20 13:16:41.029,3510,853
TSC CAM1324,,TSC,TSC_B4,,-5300587916,2407359610,,,2024-11-20 13:16:41.066,2099,2105
TSC CAM1340,,TSC,TSC_B4,,-5300593160,2407389891,,,2024-11-20 13:16:41.066,3221,1931
TSC CAM1113,,TSC,TSC_B1,,-5300333627,2407256601,,,2024-11-20 13:16:41.029,8045,4391
TSC CAM1270,,TSC,TSC_B3,,-5300364602,2407259862,,,2024-11-20 13:16:41.029,8049,3117
TSC CAM1273,,TSC,TSC_B3,,-5300339233,2407248739,,,2024-11-20 13:16:41.029,8799,4243
TSC CAM1116,,TSC,TSC_B1,,-5300364288,2407217211,,,2024-11-20 13:16:41.029,8071,4511
TSC CAM1117,,TSC,TSC_B1,,-5300364098,2407217211,,,2024-11-20 13:16:41.029,8139,4857
TSC CAM1170,,TSC,TSC_B2,,-5300368352,2407234380,,,2024-11-20 13:16:41.029,8019,3909
TSC CAM1584,,TSC,TSC_B1,,-5300370338,2407209652,,,2024-11-20 13:16:41.100,11021,197
TSC CAM1596,,TSC,TSC_B1,,-5300369557,2407300559,,,2024-11-20 13:16:41.100,3575,1153
TSC CAM1553,,TSC,TSC_B2,,-5300506816,2407298750,,,2024-11-20 13:16:41.066,3757,1375
TSC CAM1345,,TSC,TSC_B4,,-5300582246,2407281744,,,2024-11-20 13:16:41.066,3059,2031
TSC CAM1414,,TSC,TSC_B4,,-5300587410,2407363911,,,2024-11-20 13:16:41.066,7713,2351
TSC CAM1558,,TSC,TSC_B2,,-5300469902,2407305939,,,2024-11-20 13:16:41.066,8009,3655
TSC CAM1602,,TSC,TSC_B2,,-5300595382,2407302452,,,2024-11-20 13:16:41.100,4827,1051
TSC CAM1604,,TSC,TSC_B2,,-5300577824,2407304279,,,2024-11-20 13:16:41.100,5567,969
TSC CAM1439,,TSC,TSC_B4,,-5300576385,2407304180,,,2024-11-20 13:16:41.066,8825,2517
TSC CAM1278,,TSC,TSC_B3,,-5300330394,2407212398,,,2024-11-20 13:16:41.066,9385,4751
TSC CAM1598,,TSC,TSC_B1,,-5300366642,2407295566,,,2024-11-20 13:16:41.100,11247,319
TSC CAM1284,,TSC,TSC_B3,,-5300594210,2407373071,,,2024-11-20 13:16:41.066,10213,1859
TSC CAM1291,,TSC,TSC_B3,,-5300589467,2407262538,,,2024-11-20 13:16:41.066,11103,1117
TSC CAM1440,,TSC,TSC_B4,,-5300602310,2407315236,,,2024-11-20 13:16:41.066,8427,2031
TSC CAM1599,,TSC,TSC_B1,,-5300362698,2407311551,,,2024-11-20 13:16:41.100,8069,3061
TSC CAM1600,,TSC,TSC_B1,,-5300367252,2407257749,,,2024-11-20 13:16:41.100,8933,3217
TSC CAM1295,,TSC,TSC_B3,,-5300581734,2407258890,,,2024-11-20 13:16:41.066,11195,1569
TSC CAM1605,,TSC,TSC_B2,,-5300515733,2407309712,,,2024-11-20 13:16:41.100,5579,1561
TSC CAM1518,,TSC,TSC_B3,,-5300370175,2407305091,,,2024-11-20 13:16:41.066,3577,2531
TSC CAM1525,,TSC,TSC_B3,,-5300583217,2407312906,,,2024-11-20 13:16:41.066,7641,2223
TSC CAM1606,,TSC,TSC_B2,,-5300515733,2407298824,,,2024-11-20 13:16:41.100,10973,1345
TSC CAM1543,,TSC,TSC_B3,,-5300539022,2407313057,,,2024-11-20 13:16:41.066,1667,1917
TSC CAM1620,,TSC,TSC_B3,,-5300601043,2407389956,,,2024-11-20 13:16:41.100,13030,7359
TSC CAM1028,,TSC,TSC_GF,,-5300583010,2407384360,,,2024-11-20 13:16:41.029,3839,913
TSC CAM1601,,TSC,TSC_B1,,-5300338037,2407254154,,,2024-11-20 13:16:41.100,9025,3219
TSC CAM1616,,TSC,TSC_B1,,,,,,2024-11-20 13:16:41.100,4071,1557
TSC CAM1607,,TSC,TSC_B2,,-5300481439,2407312917,,,2024-11-20 13:16:41.100,10973,1379
TSC CAM1608,,TSC,TSC_B2,,-5300374259,2407236198,,,2024-11-20 13:16:41.100,7715,3861
TSC CAM1617,,TSC,TSC_B2,,,,,,2024-11-20 13:16:41.100,4825,1511
TSC CAM1561,,TSC,TSC_B3,,-5300460586,2407302611,,,2024-11-20 13:16:41.066,10175,1433
TSC CAM1446,,TSC,TSC_B4,,-5300581260,2407304329,,,2024-11-20 13:16:41.066,8637,2409
TSC CAM1451,,TSC,TSC_B4,,-5300588275,2407304261,,,2024-11-20 13:16:41.066,9023,2351
TSC CAM1455,,TSC,TSC_B4,,-5300594520,2407299323,,,2024-11-20 13:16:41.066,9055,2089
TSC CAM1468,,TSC,TSC_B4,,-5300474073,2407304193,,,2024-11-20 13:16:41.066,9981,2221
TSC CAM1471,,TSC,TSC_B4,,-5300461901,2407304261,,,2024-11-20 13:16:41.066,10187,2467
TSC CAM1586,,TSC,TSC_B3,,-5300393815,2407300524,,,2024-11-20 13:16:41.100,3203,2221
TSC CAM1485,,TSC,TSC_B4,,-5300353252,2407219530,,,2024-11-20 13:16:41.066,9109,4079
TSC CAM1587,,TSC,TSC_B3,,-5300377221,2407309776,,,2024-11-20 13:16:41.100,7641,2181
TSC CAM1035,,TSC,TSC_GF,,-5300379944,2407225117,,,2024-11-20 13:16:41.029,8001,3963
TSC CAM1037,,TSC,TSC_GF,,-5300362867,2407231797,,,2024-11-20 13:16:41.029,8133,3963
TSC CAM1039,,TSC,TSC_GF,,-5300357539,2407259553,,,2024-11-20 13:16:41.029,8303,3395
TSC CAM1572,,TSC,TSC_GF,,-5300312385,2407215032,,,2024-11-20 13:16:41.100,9851,4817
TSC CAM1489,,TSC,TSC_B4,,-5300367533,2407295697,,,2024-11-20 13:16:41.066,10103,1435
TSC CAM1495,,TSC,TSC_B5,,-5300391473,2407234886,,,2024-11-20 13:16:41.066,5539,961
TSC CAM1076,,TSC,TSC_B1,,-5300370720,2407287279,,,2024-11-20 13:16:41.029,2937,703
TSC CAM1243,,TSC,TSC_B3,,-5300352950,2407250850,,,2024-11-20 13:16:41.029,5469,961
TSC CAM1068,,TSC,TSC_B1M,,-5300388909,2407236238,,,2024-11-20 13:16:41.029,3479,747
TSC CAM1247,,TSC,TSC_B3,,-5300349273,2407242716,,,2024-11-20 13:16:41.029,5939,1245
TSC CAM1258,,TSC,TSC_B3,,-5300356523,2407226626,,,2024-11-20 13:16:41.029,7585,2223
TSC CAM1070,,TSC,TSC_B1M,,-5300399123,2407229986,,,2024-11-20 13:16:41.029,3767,773
TSC CAM1137,,TSC,TSC_B2,,-5300377349,2407256496,,,2024-11-20 13:16:41.029,3347,1049
TSC CAM1266,,TSC,TSC_B3,,-5300373516,2407265961,,,2024-11-20 13:16:41.029,7783,2773
TSC CAM1357,,TSC,TSC_B4,,-5300425415,2407237677,,,2024-11-20 13:16:41.066,3465,2355
TSC CAM1364,,TSC,TSC_B4,,-5300365395,2407302621,,,2024-11-20 13:16:41.066,4091,2031
TSC CAM1079,,TSC,TSC_B1,,-5300367158,2407287346,,,2024-11-20 13:16:41.029,3607,1023
TSC CAM1083,,TSC,TSC_B1,,-5300325553,2407209927,,,2024-11-20 13:16:41.029,3457,1193
TSC CAM1087,,TSC,TSC_B1,,-5300357928,2407215494,,,2024-11-20 13:16:41.029,3647,915
TSC CAM1089,,TSC,TSC_B1,,-5300332532,2407215577,,,2024-11-20 13:16:41.029,3769,853
TSC CAM1093,,TSC,TSC_B1,,-5300326427,2407215093,,,2024-11-20 13:16:41.029,4109,977
TSC CAM1095,,TSC,TSC_B1,,-5300364098,2407217211,,,2024-11-20 13:16:41.029,4589,1349
TSC CAM1098,,TSC,TSC_B1,,-5300372876,2407215606,,,2024-11-20 13:16:41.029,5871,1567
TSC CAM1099,,TSC,TSC_B1,,-5300354563,2407215209,,,2024-11-20 13:16:41.029,8395,3203
TSC CAM1001,,TSC,TSC_GF,,-5300584592,2407257261,,,2024-11-20 13:16:41.029,2875,799
TSC CAM1104,,TSC,TSC_B1,,-5300362201,2407258918,,,2024-11-20 13:16:41.029,8281,3059
TSC CAM1109,,TSC,TSC_B1,,-5300348920,2407243167,,,2024-11-20 13:16:41.029,8207,3653
TSC CAM1139,,TSC,TSC_B2,,-5300387385,2407228297,,,2024-11-20 13:16:41.029,3647,923
TSC CAM1154,,TSC,TSC_B2,,-5300366296,2407228296,,,2024-11-20 13:16:41.029,5087,1401
TSC CAM1172,,TSC,TSC_B2,,-5300364246,2407235924,,,2024-11-20 13:16:41.029,8011,4031
TSC CAM1181,,TSC,TSC_B2,,-5300348106,2407240513,,,2024-11-20 13:16:41.029,8603,3665
